Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
11212,40.6620157,-73.9147757,1622,40.88,14.6,26.4,16.5,7.2,81.6,1.3,82.9,26239.0,43099.0,36.1,15.8
11213,40.6708792,-73.937527,1251,42.05,28.1,30.1,14.4,22.4,67.6,2.0,69.6,41710.0,60525.0,23.6,8.7
11214,40.5964924,-73.999159,1370,41.41,31.6,29.4,19.9,49.2,1.5,37.5,39.0,54041.0,74409.0,17.5,6.2
11215,40.6653642,-73.9891606,553,28.59,75.5,24.6,12.7,76.1,4.6,7.9,12.5,123583.0,171776.0,7.1,3.9
11216,40.680523,-73.9493452,650,34.57,46.8,39.4,14.3,29.0,57.0,5.2,62.2,61121.0,88367.0,17.4,6.4
11217,40.682722,-73.9768253,511,36.45,66.5,29.7,13.2,58.0,19.7,7.6,27.3,107362.0,158932.0,14.6,5.9
11218,40.6436579,-73.9772847,1537,41.96,45.1,21.0,14.8,59.7,8.1,18.5,26.6,69415.0,93120.0,19.9,6.1
11219,40.6326494,-73.9966015,2589,37.3,19.2,17.2,14.5,67.2,1.0,24.5,25.5,39295.0,59532.0,35.5,5.8
11220,40.641197,-74.0128061,1373,43.04,20.9,23.7,13.6,30.3,2.6,41.3,43.9,47079.0,67304.0,29.4,6.3
11221,40.6925813,-73.9424993,1131,39.78,31.3,32.2,12.5,27.7,49.0,3.4,52.4,50153.0,72291.0,23.2,10.1
11222,40.7271586,-73.948833,395,33.67,58.7,44.2,12.9,81.9,4.4,5.0,9.4,85111.0,106860.0,10.6,4.8
11223,40.5861465,-73.9677977,1533,39.85,31.7,25.3,19.1,57.2,4.8,24.2,29.0,50108.0,76767.0,20.3,7.8
11224,40.6451813,-73.9747314,1021,41.3,35.8,26.0,30.0,58.1,22.5,5.9,28.4,33131.0,54541.0,27.9,9.9
11225,40.6624274,-73.952876,1056,41.17,38.6,36.0,15.9,27.2,63.9,2.6,66.5,55862.0,82001.0,18.6,7.8
11226,40.6772298,-73.9526921,1990,43.85,28.4,29.6,15.0,15.2,68.2,2.9,71.1,52052.0,69166.0,17.4,7.2
11228,40.6182175,-74.0112509,587,38.04,33.5,29.7,21.5,55.7,1.2,35.6,36.8,67911.0,95616.0,13.8,6.5
11229,40.5954038,-73.9376824,1412,39.09,37.6,30.5,22.3,64.6,6.0,22.2,28.2,60873.0,83189.0,14.6,6.2
